"fh_evento","Evento"
"2018-03-09 13:19:38","VAL"
"2018-03-09 13:19:37","PET"
"2018-03-09 13:19:36","VAL"
"2018-03-09 13:19:36","PET"
"2018-03-09 13:19:36","VAL"
"2018-03-09 13:19:35","PET"
"2018-03-09 13:19:34","VAL"
"2018-03-09 13:19:33","PET"
"2018-03-09 13:19:33","PET"
"2018-03-09 13:19:32","VAL"
"2018-03-09 13:19:32","VAL"
"2018-03-09 13:19:31","VAL"
"2018-03-09 13:19:31","PET"
"2018-03-09 13:19:30","VAL"
"2018-03-09 13:19:30","PER"
"2018-03-09 13:19:29","PET"
"2018-03-09 13:19:29","PET"
"2018-03-09 13:19:28","VAL"
"2018-03-09 13:19:28","PET"
"2018-03-09 13:19:27","VAL"
"2018-03-09 13:19:27","PET"
"2018-03-09 13:19:26","VAL"
"2018-03-09 13:19:25","VAL"
"2018-03-09 13:19:25","VAL"
"2018-03-09 13:19:25","PET"
"2018-03-09 13:19:25","PET"
"2018-03-09 13:19:23","PET"
"2018-03-09 13:19:23","PET"
"2018-03-09 13:19:22","PET"
"2018-03-09 13:19:21","VAL"
"2018-03-09 13:19:21","VAL"
"2018-03-09 13:19:20","PET"
"2018-03-09 13:19:18","PET"
"2018-03-09 13:19:18","PET"
"2018-03-09 13:19:18","VAL"
"2018-03-09 13:19:17","PER"
"2018-03-09 13:19:17","VAL"
"2018-03-09 13:19:15","PET"
"2018-03-09 13:19:15","VAL"
"2018-03-09 13:19:15","VAL"
"2018-03-09 13:19:14","PET"
"2018-03-09 13:19:13","PET"
"2018-03-09 13:19:12","VAL"
"2018-03-09 13:19:11","PET"
"2018-03-09 13:19:11","PET"
"2018-03-09 13:19:10","VAL"
"2018-03-09 13:19:10","VAL"
"2018-03-09 13:19:09","PET"
"2018-03-09 13:19:08","PET"
"2018-03-09 13:19:08","VAL"
"2018-03-09 13:19:08","PET"
"2018-03-09 13:19:07","VAL"
"2018-03-09 13:19:07","VAL"
"2018-03-09 13:19:06","PET"
"2018-03-09 13:19:04","PET"
"2018-03-09 13:19:04","PET"
"2018-03-09 13:19:03","VAL"
"2018-03-09 13:19:03","VAL"
"2018-03-09 13:19:02","PET"
"2018-03-09 13:19:01","VAL"
"2018-03-09 13:19:01","PET"
"2018-03-09 13:19:01","PET"
"2018-03-09 13:19:01","VAL"
"2018-03-09 13:19:00","VAL"
"2018-03-09 13:19:00","VAL"
"2018-03-09 13:18:58","PET"
"2018-03-09 13:18:58","PET"
"2018-03-09 13:18:57","PET"
"2018-03-09 13:18:56","PET"
"2018-03-09 13:18:55","VAL"
"2018-03-09 13:18:55","VAL"
"2018-03-09 13:18:54","PET"
"2018-03-09 13:18:53","VAL"
"2018-03-09 13:18:53","PET"
"2018-03-09 13:18:52","PET"
"2018-03-09 13:18:50","VAL"
"2018-03-09 13:18:50","PET"
"2018-03-09 13:18:49","PET"
"2018-03-09 13:18:48","VAL"
"2018-03-09 13:18:47","PET"
"2018-03-09 13:18:46","PET"
"2018-03-09 13:18:46","VAL"
"2018-03-09 13:18:45","VAL"
"2018-03-09 13:18:44","PET"
"2018-03-09 13:18:43","PET"
"2018-03-09 13:18:43","VAL"
"2018-03-09 13:18:43","PET"
"2018-03-09 13:18:43","VAL"
"2018-03-09 13:18:41","PET"
"2018-03-09 13:18:41","VAL"
"2018-03-09 13:18:40","PET"
"2018-03-09 13:18:40","VAL"
"2018-03-09 13:18:39","PET"
"2018-03-09 13:18:39","PET"
"2018-03-09 13:18:39","PET"
"2018-03-09 13:18:39","PET"
"2018-03-09 13:18:39","VAL"
"2018-03-09 13:18:38","PET"
"2018-03-09 13:18:37","PET"
"2018-03-09 13:18:36","PET"
"2018-03-09 13:18:35","PET"
"2018-03-09 13:18:31","VAL"
"2018-03-09 13:18:31","VAL"
"2018-03-09 13:18:29","PET"
"2018-03-09 13:18:29","PET"
"2018-03-09 13:18:27","PET"
"2018-03-09 13:18:26","VAL"
"2018-03-09 13:18:26","PET"
"2018-03-09 13:18:25","PET"
"2018-03-09 13:18:24","PET"
"2018-03-09 13:18:23","PET"
"2018-03-09 13:18:23","PET"
"2018-03-09 13:18:22","PET"
"2018-03-09 13:18:20","PET"
"2018-03-09 13:18:20","PET"
"2018-03-09 13:18:20","VAL"
"2018-03-09 13:18:18","VAL"
"2018-03-09 13:18:17","PET"
"2018-03-09 13:18:16","PET"
"2018-03-09 13:18:15","PET"
"2018-03-09 13:18:15","VAL"
"2018-03-09 13:18:15","VAL"
"2018-03-09 13:18:15","PET"
"2018-03-09 13:18:13","VAL"
"2018-03-09 13:18:12","PET"
"2018-03-09 13:18:12","PET"
"2018-03-09 13:18:11","PET"
"2018-03-09 13:18:11","PET"
"2018-03-09 13:18:10","VAL"
"2018-03-09 13:18:09","PET"
"2018-03-09 13:18:08","PET"
"2018-03-09 13:18:07","PET"
"2018-03-09 13:18:06","PET"
"2018-03-09 13:18:04","PET"
"2018-03-09 13:18:04","VAL"
"2018-03-09 13:18:04","PET"
"2018-03-09 13:18:03","VAL"
"2018-03-09 13:18:03","PET"
"2018-03-09 13:18:02","PET"
"2018-03-09 13:18:00","PET"
"2018-03-09 13:18:00","PET"
"2018-03-09 13:17:59","VAL"
"2018-03-09 13:17:58","PET"
"2018-03-09 13:17:58","PET"
"2018-03-09 13:17:56","VAL"
"2018-03-09 13:17:56","PET"
"2018-03-09 13:17:56","VAL"
"2018-03-09 13:17:54","PET"
"2018-03-09 13:17:54","PET"
"2018-03-09 13:17:53","VAL"
"2018-03-09 13:17:52","VAL"
"2018-03-09 13:17:52","PET"
"2018-03-09 13:17:52","PET"
"2018-03-09 13:17:52","VAL"
"2018-03-09 13:17:50","PET"
"2018-03-09 13:17:50","PET"
"2018-03-09 13:17:49","PET"
"2018-03-09 13:17:48","PET"
"2018-03-09 13:17:47","VAL"
"2018-03-09 13:17:46","PET"
"2018-03-09 13:17:46","PET"
"2018-03-09 13:17:44","PET"
"2018-03-09 13:17:44","PET"
"2018-03-09 13:17:43","PET"
"2018-03-09 13:17:42","PET"
"2018-03-09 13:17:41","VAL"
"2018-03-09 13:17:40","PET"
"2018-03-09 13:17:40","PET"
"2018-03-09 13:17:39","PET"
"2018-03-09 13:17:38","PET"
"2018-03-09 13:17:36","PET"
"2018-03-09 13:17:35","PET"
"2018-03-09 13:17:34","PET"
"2018-03-09 13:17:32","PET"
"2018-03-09 13:17:32","VAL"
"2018-03-09 13:17:32","VAL"
"2018-03-09 13:17:32","PET"
"2018-03-09 13:17:31","PET"
"2018-03-09 13:17:31","VAL"
"2018-03-09 13:17:30","PET"
"2018-03-09 13:17:29","VAL"
"2018-03-09 13:17:29","PET"
"2018-03-09 13:17:28","PET"
"2018-03-09 13:17:26","PET"
"2018-03-09 13:17:26","PET"
"2018-03-09 13:17:25","VAL"
"2018-03-09 13:17:25","VAL"
"2018-03-09 13:17:24","VAL"
"2018-03-09 13:17:23","PET"
"2018-03-09 13:17:23","PET"
"2018-03-09 13:17:22","PET"
"2018-03-09 13:17:21","PET"
"2018-03-09 13:17:21","PET"
"2018-03-09 13:17:21","VAL"
"2018-03-09 13:17:19","VAL"
"2018-03-09 13:17:19","PET"
"2018-03-09 13:17:18","PET"
"2018-03-09 13:17:17","VAL"
"2018-03-09 13:17:16","PET"
"2018-03-09 13:17:15","VAL"
"2018-03-09 13:17:15","VAL"
"2018-03-09 13:17:14","VAL"
"2018-03-09 13:17:14","PET"
"2018-03-09 13:17:14","PET"
"2018-03-09 13:17:12","PER"
"2018-03-09 13:17:12","PET"
"2018-03-09 13:17:11","VAL"
"2018-03-09 13:17:11","PET"
"2018-03-09 13:17:10","PET"
"2018-03-09 13:17:10","VAL"
"2018-03-09 13:17:08","PET"
"2018-03-09 13:17:08","VAL"
"2018-03-09 13:17:08","PET"
"2018-03-09 13:17:08","VAL"
"2018-03-09 13:17:07","PET"
"2018-03-09 13:17:06","PET"
"2018-03-09 13:17:05","PET"
"2018-03-09 13:17:04","PER"
"2018-03-09 13:17:03","PET"
"2018-03-09 13:17:03","VAL"
"2018-03-09 13:17:03","PET"
"2018-03-09 13:17:01","VAL"
"2018-03-09 13:17:01","VAL"
"2018-03-09 13:17:00","PET"
"2018-03-09 13:16:58","PET"
"2018-03-09 13:16:58","PET"
"2018-03-09 13:16:58","PET"
"2018-03-09 13:16:57","VAL"
"2018-03-09 13:16:57","PER"
"2018-03-09 13:16:55","PER"
"2018-03-09 13:16:55","VAL"
"2018-03-09 13:16:55","VAL"
"2018-03-09 13:16:54","PET"
"2018-03-09 13:16:53","PET"
"2018-03-09 13:16:51","PET"
"2018-03-09 13:16:49","VAL"
"2018-03-09 13:16:48","VAL"
"2018-03-09 13:16:48","VAL"
"2018-03-09 13:16:47","PET"
"2018-03-09 13:16:47","PET"
"2018-03-09 13:16:46","PET"
"2018-03-09 13:16:45","PET"
"2018-03-09 13:16:45","PET"
"2018-03-09 13:16:44","PET"
"2018-03-09 13:16:43","PET"
"2018-03-09 13:16:43","PET"
"2018-03-09 13:16:42","PER"
"2018-03-09 13:16:39","PET"
"2018-03-09 13:16:38","PET"
"2018-03-09 13:16:38","PET"
"2018-03-09 13:16:37","PET"
"2018-03-09 13:16:35","PET"
"2018-03-09 13:16:35","PET"
"2018-03-09 13:16:33","PER"
"2018-03-09 13:16:32","PET"
"2018-03-09 13:16:32","PET"
"2018-03-09 13:16:31","VAL"
"2018-03-09 13:16:29","PET"
"2018-03-09 13:16:29","PET"
"2018-03-09 13:16:27","VAL"
"2018-03-09 13:16:27","PET"
"2018-03-09 13:16:26","PET"
"2018-03-09 13:16:25","VAL"
"2018-03-09 13:16:24","PET"
"2018-03-09 13:16:23","PET"
"2018-03-09 13:16:22","PET"
"2018-03-09 13:16:21","VAL"
"2018-03-09 13:16:20","PET"
"2018-03-09 13:16:19","PET"
"2018-03-09 13:16:18","VAL"
"2018-03-09 13:16:18","PET"
"2018-03-09 13:16:17","PET"
"2018-03-09 13:16:15","PET"
"2018-03-09 13:16:15","PET"
"2018-03-09 13:16:15","PET"
"2018-03-09 13:16:13","VAL"
"2018-03-09 13:16:13","VAL"
"2018-03-09 13:16:13","PET"
"2018-03-09 13:16:11","PET"
